iter	Passed	Remaining
857	14456	2392
858	14466	2374
859	14475	2356
860	14484	2338
861	14492	2320
862	14501	2302
863	14510	2284
864	14518	2265
865	14528	2248
866	14537	2230
867	14547	2212
868	14555	2194
869	14566	2176
870	14575	2158
871	14584	2140
872	14594	2123
873	14602	2105
874	14612	2087
875	14620	2069
876	14631	2052
877	14641	2034
878	14649	2016
879	14660	1999
880	14669	1981
881	14685	1964
882	14697	1947
883	14710	1930
884	14722	1913
885	14732	1895
886	14744	1878
887	14757	1861
888	14768	1843
889	14780	1826
890	14792	1809
891	14804	1792
892	14814	1775
893	14826	1757
894	14839	1740
895	14849	1723
896	14860	1706
897	14873	1689
898	14884	1672
899	14895	1655
900	14907	1637
901	14920	1621
902	14932	1604
903	14941	1586
904	14957	1570
905	14970	1553
906	14981	1536
907	14992	1519
908	15005	1502
909	15018	1485
910	15032	1468
911	15042	1451
912	15054	1434
913	15067	1417
914	15084	1401
915	15099	1384
916	15112	1367
917	15136	1352
918	15153	1335
919	15177	1319
920	15195	1303
921	15219	1287
922	15247	1272
923	15269	1255
924	15291	1239
925	15313	1223
926	15338	1207
927	15357	1191
928	15371	1174
929	15385	1158
930	15400	1141
931	15415	1124
932	15430	1108
933	15446	1091
934	15461	1074
935	15476	1058
936	15491	1041
937	15504	1024
938	15515	1007
939	15529	991
940	15544	974
941	15559	957
942	15574	941
943	15590	924
944	15604	908
945	15615	891
946	15628	874
947	15648	858
948	15662	841
949	15677	825
950	15690	808
951	15702	791
952	15715	775
953	15726	758
954	15741	741
955	15755	725
956	15769	708
957	15781	691
958	15792	675
959	15805	658
960	15820	642
961	15835	625
962	15848	608
963	15863	592
964	15874	575
965	15887	559
966	15899	542
967	15911	526
968	15922	509
969	15936	492
970	15950	476
971	15964	459
972	15979	443
973	15992	426
974	16002	410
975	16018	393
976	16033	377
977	16049	361
978	16063	344
979	16082	328
980	16097	311
981	16114	295
982	16131	278
983	16143	262
984	16159	246
985	16173	229
986	16183	213
987	16197	196
988	16210	180
989	16224	163
990	16240	147
991	16253	131
992	16265	114
993	16278	98
994	16293	81
995	16309	65
996	16323	49
997	16337	32
998	16349	16
999	16360	0
